,Unnamed: 0,match,exphappy,samerace,hobby_diff_phys,hobby_diff_out,hobby_diff_in,same_goal,attr_diff,sinc_diff,intel_diff,fun_diff,amb_diff,income_diff,age_diff,same_career,confidence,imprace,date_freq,out_freq
0,0,0,0.2222222222222222,0,0.2916666666666667,0.6,0.8,0,0.5710360433166316,0.5972222222222222,0.506578947368421,0.504951980792317,0.6521843379849422,0.6349983680787655,0.5454545454545454,0,0.00625,0.42105263157894735,1.0,0.0
1,1,0,0.2222222222222222,0,0.2916666666666667,0.5333333333333333,0.4727272727272727,0,0.9589461774688864,0.4861111111111111,0.34868421052631576,1.0,0.498729199635544,1.0,0.09090909090909091,0,0.027500000000000004,0.10526315789473684,1.0,0.0
2,2,1,0.2222222222222222,1,0.375,0.5,0.5818181818181818,1,0.3770809762405043,0.5972222222222222,0.48026315789473684,0.4149159663865546,0.7289119071596413,0.41107312004811675,0.09090909090909091,0,0.0075,0.21052631578947367,1.0,0.0
3,3,1,0.2222222222222222,0,0.25,0.36666666666666664,0.509090909090909,1,0.47405850977856795,0.3472222222222222,0.34868421052631576,1.0,0.30691027669879634,0.2373910924180512,0.18181818181818182,0,0.021249999999999998,0.10526315789473684,1.0,0.0
4,4,1,0.2222222222222222,0,0.08333333333333333,0.8333333333333334,0.6545454545454545,0,0.5063843542912558,0.375,0.48026315789473684,0.20483193277310915,0.34527406128614585,0.8017365352245567,0.2727272727272727,0,0.013750000000000002,0.21052631578947367,1.0,0.0
5,5,0,0.2222222222222222,0,0.16666666666666666,0.6,0.6181818181818182,0,0.8458057216744788,0.5694444444444444,0.7697368421052632,0.1748199279711884,0.6138205533975927,0.6339322745561389,0.36363636363636365,0,0.015,0.5263157894736842,1.0,0.0
6,6,0,0.2222222222222222,0,0.16666666666666666,0.7333333333333333,0.509090909090909,0,0.5871989655729756,0.5138888888888888,0.6381578947368421,0.23484393757502994,0.498729199635544,0.7513963972310074,0.8181818181818182,0,0.005,0.10526315789473684,1.0,0.0
7,7,0,0.2222222222222222,0,0.3333333333333333,0.6333333333333333,0.32727272727272727,0,0.5763698076612251,0.37805555555555553,0.2726315789473684,0.26815726290516195,0.38785786217810386,0.3676597394342008,0.5454545454545454,0,0.005,0.47368421052631576,1.0,0.0
8,8,1,0.2222222222222222,0,0.5416666666666666,0.43333333333333335,1.0,0,0.781154032649103,0.5694444444444444,0.5855263157894737,0.11479591836734683,0.4603654150481945,0.5774692251010866,0.6363636363636364,0,0.027500000000000004,0.10526315789473684,1.0,0.0
9,9,0,0.2222222222222222,0,0.5416666666666666,0.9,1.0,0,1.0,0.5416666666666666,0.34868421052631576,0.2948679471788715,0.4603654150481945,0.7097446363951216,0.2727272727272727,0,0.026250000000000002,0.10526315789473684,1.0,0.0
10,10,0,0.3333333333333333,1,0.5,0.43333333333333335,0.21818181818181817,1,1.0,0.4861111111111111,0.6381578947368421,0.5949879951980792,0.30691027669879634,0.5538612396615296,0.2727272727272727,0,0.01,0.42105263157894735,0.6666666666666666,0.0
11,11,0,0.3333333333333333,1,0.5,0.36666666666666664,0.5454545454545454,1,1.0,0.20833333333333334,0.48026315789473684,1.0,0.4603654150481945,0.9153866655644666,0.18181818181818182,0,0.03125,0.10526315789473684,0.6666666666666666,0.0
12,12,0,0.3333333333333333,0,0.4166666666666667,0.3333333333333333,0.6545454545454545,0,0.8458057216744788,0.375,0.6118421052631579,0.504951980792317,0.5370929842228935,0.6769465827284298,0.18181818181818182,0,0.01125,0.21052631578947367,0.6666666666666666,0.0
13,13,1,0.3333333333333333,1,0.625,0.5333333333333333,0.6545454545454545,0,0.9427832552125425,0.06944444444444445,0.48026315789473684,1.0,0.42200163046084493,0.13596968189650627,0.09090909090909091,0,0.025,0.10526315789473684,0.6666666666666666,0.0
14,14,0,0.3333333333333333,0,0.4583333333333333,0.26666666666666666,0.5818181818181818,1,0.9751090997252303,0.1527777777777778,0.6118421052631579,0.2948679471788715,0.6138205533975927,0.7003151247030117,0.0,0,0.017499999999999998,0.21052631578947367,0.6666666666666666,0.0
15,15,0,0.3333333333333333,1,0.2916666666666667,0.3,0.10909090909090909,1,1.0,0.125,0.9013157894736842,0.2648559423769507,0.34527406128614585,0.5335769575572206,0.09090909090909091,0,0.01875,0.5263157894736842,0.6666666666666666,0.0
16,16,0,0.3333333333333333,1,0.375,0.23333333333333334,0.36363636363636365,0,1.0,0.2916666666666667,0.7697368421052632,0.3248799519807923,0.23018270752409725,0.6499749867094624,0.5454545454545454,0,0.008749999999999999,0.10526315789473684,0.6666666666666666,0.0
17,17,0,0.3333333333333333,1,0.20833333333333334,0.6666666666666666,0.6909090909090909,1,1.0,0.21138888888888888,0.40421052631578946,0.3581932773109243,0.6564043542895507,0.26623832891265586,0.2727272727272727,0,0.008749999999999999,0.47368421052631576,0.6666666666666666,0.0
18,18,1,0.3333333333333333,1,0.9166666666666666,0.4666666666666667,0.43636363636363634,0,1.0,0.125,0.7171052631578947,0.20483193277310915,0.498729199635544,0.5335769575572206,0.36363636363636365,0,0.03125,0.10526315789473684,0.6666666666666666,0.0
19,19,0,0.3333333333333333,1,0.8333333333333334,0.13333333333333333,0.7272727272727273,1,1.0,0.1527777777777778,0.48026315789473684,0.504951980792317,0.498729199635544,0.5288336965367639,0.0,0,0.03,0.10526315789473684,0.6666666666666666,0.0
20,20,0,0.3333333333333333,1,0.7916666666666666,0.3,0.4,0,0.8619686439308227,0.2916666666666667,0.875,0.354891956782713,0.498729199635544,0.28116363822942964,0.18181818181818182,0,0.00625,0.7368421052631579,0.3333333333333333,0.0
21,21,0,0.3333333333333333,1,0.625,0.16666666666666666,0.2909090909090909,0,1.0,0.2361111111111111,0.7697368421052632,0.895108043217287,0.34527406128614585,0.502779967133534,0.2727272727272727,0,0.027500000000000004,0.42105263157894735,0.3333333333333333,0.0
22,22,0,0.3333333333333333,0,0.7916666666666666,0.2,0.2545454545454545,0,0.6680135768546953,0.2916666666666667,0.8486842105263158,0.2648559423769507,0.498729199635544,0.3781952518930999,0.2727272727272727,0,0.0075,0.5263157894736842,0.3333333333333333,0.0
23,23,0,0.3333333333333333,1,0.6666666666666666,0.4,0.4,0,0.764991110392759,0.09722222222222222,0.7171052631578947,0.895108043217287,0.15345513834939817,0.36673047074870274,0.18181818181818182,0,0.021249999999999998,0.42105263157894735,0.3333333333333333,0.0
24,24,0,0.3333333333333333,0,0.6666666666666666,0.4666666666666667,0.32727272727272727,0,0.797316954905447,0.06944444444444445,0.8486842105263158,0.05477190876350529,0.11509135376204863,0.28308488698410983,0.09090909090909091,0,0.013750000000000002,0.5263157894736842,0.3333333333333333,0.0
25,25,0,0.3333333333333333,1,0.5833333333333334,0.1,0.5818181818181818,0,1.0,0.3194444444444444,1.0,0.02475990396158451,0.4603654150481945,0.28116363822942964,0.0,0,0.015,0.8421052631578947,0.3333333333333333,0.0
26,26,0,0.3333333333333333,1,0.6666666666666666,0.3,0.6181818181818182,0,0.8781315661871667,0.20833333333333334,1.0,0.08478391356542606,0.34527406128614585,0.28116363822942964,0.45454545454545453,0,0.005,0.42105263157894735,0.3333333333333333,0.0
27,27,0,0.3333333333333333,1,0.5833333333333334,0.6,0.21818181818181817,0,0.8673024082754162,0.07249999999999998,0.6410526315789473,0.11809723889555811,0.15767515465400658,0.35791096978879094,0.18181818181818182,0,0.005,0.7894736842105263,0.3333333333333333,0.0
